new_sample_runid	new_complete_name	library_id	comment	unique_sample_id	old_complete_name	old_run_id	lab_project_id	batch_name	country	country_alpha2	country_alpha3	city	latitude_inferred	longtitude_inferred	batch_abbr	year	collection_date	collected_by	isolation_source	organism	ena_sample_acc	ena_experiment_acc	ena_run_acc	sequencing_platform	sequencing_type	instrument_model
16	DTU_2016_16_3_MG_AUT-70_2	3		2016_pil_aut_01	DTU2016_MG_386_70_AUT-70_2	386	1058	GS pilot 2016	Austria	AT	AUT	Vienna	48,21	16,37	pil	16	2016-02-16	Global sewage consortium	wastewater	wastewater metagenome	ERS2520875	ERX2624041	ERR2607385	Illumina	paired	Illumina HiSeq 3000
17	DTU_2016_17_4_MG_AUT-70_3	4		2016_pil_aut_01	DTU2016_MG_386_70_AUT-70_3	386	1058	GS pilot 2016	Austria	AT	AUT	Vienna	48,21	16,37	pil	16	2016-02-16	Global sewage consortium	wastewater	wastewater metagenome	ERS2520876	ERX2624042	ERR2607386	Illumina	paired	Illumina HiSeq 3000
18	DTU_2016_18_1_MG_BGR-66	1		2016_pil_bgr_01	DTU2016_MG_382_66_BGR-66	382	1058	GS pilot 2016	Bulgaria	BG	BGR	Sofia	42,70	23,32	pil	16	2016-02-15	Global sewage consortium	wastewater	wastewater metagenome	ERS2520881	ERX2624047	ERR2607391	Illumina	paired	Illumina HiSeq 3000
19	DTU_2016_19_2_MG_BGR-66_1	2		2016_pil_bgr_01	DTU2016_MG_382_66_BGR-66_1	382	1058	GS pilot 2016	Bulgaria	BG	BGR	Sofia	42,70	23,32	pil	16	2016-02-15	Global sewage consortium	wastewater	wastewater metagenome	ERS2520878	ERX2624044	ERR2607388	Illumina	paired	Illumina HiSeq 3000
20	DTU_2016_20_3_MG_BGR-66_2	3		2016_pil_bgr_01	DTU2016_MG_382_66_BGR-66_2	382	1058	GS pilot 2016	Bulgaria	BG	BGR	Sofia	42,70	23,32	pil	16	2016-02-15	Global sewage consortium	wastewater	wastewater metagenome	ERS2520879	ERX2624045	ERR2607389	Illumina	paired	Illumina HiSeq 3000
21	DTU_2016_21_4_MG_BGR-66_3	4		2016_pil_bgr_01	DTU2016_MG_382_66_BGR-66_3	382	1058	GS pilot 2016	Bulgaria	BG	BGR	Sofia	42,70	23,32	pil	16	2016-02-15	Global sewage consortium	wastewater	wastewater metagenome	ERS2520880	ERX2624046	ERR2607390	Illumina	paired	Illumina HiSeq 3000
22	DTU_2016_22_1_MG_BRA-53	1		2016_pil_bra_01	DTU2016_MG_371_53_BRA-53	371	1058	GS pilot 2016	Brazil	BR	BRA	Belem	-1,45	-48,47	pil	16	2016-02-16	Global sewage consortium	wastewater	wastewater metagenome	ERS2520887	ERX2624053	ERR2607397	Illumina	paired	Illumina HiSeq 3000
23	DTU_2016_23_2_MG_BRA-53_1	2		2016_pil_bra_01	DTU2016_MG_371_53_BRA-53_1	371	1058	GS pilot 2016	Brazil	BR	BRA	Belem	-1,45	-48,47	pil	16	2016-02-16	Global sewage consortium	wastewater	wastewater metagenome	ERS2520882	ERX2624048	ERR2607392	Illumina	paired	Illumina HiSeq 3000
24	DTU_2016_24_3_MG_BRA-53_2	3		2016_pil_bra_01	DTU2016_MG_371_53_BRA-53_2	371	1058	GS pilot 2016	Brazil	BR	BRA	Belem	-1,45	-48,47	pil	16	2016-02-16	Global sewage consortium	wastewater	wastewater metagenome	ERS2520883	ERX2624049	ERR2607393	Illumina	paired	Illumina HiSeq 3000
25	DTU_2016_25_1_MG_BRA-53a	1		2016_pil_bra_02	DTU2016_MG_372_53a_BRA-53a	372	1058	GS pilot 2016	Brazil	BR	BRA	Belem	-1,45	-48,47	pil	16	2016-02-15	Global sewage consortium	wastewater	wastewater metagenome	ERS2520886	ERX2624052	ERR2607396	Illumina	paired	Illumina HiSeq 3000
26	DTU_2016_26_2_MG_BRA-53a_1	2		2016_pil_bra_02	DTU2016_MG_372_53a_BRA-53a_1	372	1058	GS pilot 2016	Brazil	BR	BRA	Belem	-1,45	-48,47	pil	16	2016-02-15	Global sewage consortium	wastewater	wastewater metagenome	ERS2520884	ERX2624050	ERR2607394	Illumina	paired	Illumina HiSeq 3000
27	DTU_2016_27_3_MG_BRA-53a_2	3		2016_pil_bra_02	DTU2016_MG_372_53a_BRA-53a_2	372	1058	GS pilot 2016	Brazil	BR	BRA	Belem	-1,45	-48,47	pil	16	2016-02-15	Global sewage consortium	wastewater	wastewater metagenome	ERS2520885	ERX2624051	ERR2607395	Illumina	paired	Illumina HiSeq 3000
28	DTU_2016_28_1_MG_BWA-19	1		2016_pil_bwa_01	DTU2016_MG_336_19_BWA-19	336	1058	GS pilot 2016	Botswana	BW	BWA	Palapye	-22,54	27,12	pil	16	2016-01-25	Global sewage consortium	wastewater	wastewater metagenome	ERS2520891	ERX2624057	ERR2607401	Illumina	paired	Illumina HiSeq 3000
29	DTU_2016_29_2_MG_BWA-19_1	2		2016_pil_bwa_01	DTU2016_MG_336_19_BWA-19_1	336	1058	GS pilot 2016	Botswana	BW	BWA	Palapye	-22,54	27,12	pil	16	2016-01-25	Global sewage consortium	wastewater	wastewater metagenome	ERS2520888	ERX2624054	ERR2607398	Illumina	paired	Illumina HiSeq 3000
30	DTU_2016_30_3_MG_BWA-19_2	3		2016_pil_bwa_01	DTU2016_MG_336_19_BWA-19_2	336	1058	GS pilot 2016	Botswana	BW	BWA	Palapye	-22,54	27,12	pil	16	2016-01-25	Global sewage consortium	wastewater	wastewater metagenome	ERS2520889	ERX2624055	ERR2607399	Illumina	paired	Illumina HiSeq 3000
31	DTU_2016_31_4_MG_BWA-19_3	4		2016_pil_bwa_01	DTU2016_MG_336_19_BWA-19_3	336	1058	GS pilot 2016	Botswana	BW	BWA	Palapye	-22,54	27,12	pil	16	2016-01-25	Global sewage consortium	wastewater	wastewater metagenome	ERS2520890	ERX2624056	ERR2607400	Illumina	paired	Illumina HiSeq 3000
32	DTU_2016_32_1_MG_CAN-22	1		2016_pil_can_01	DTU2016_MG_338_22_CAN-22	338	1058	GS pilot 2016	Canada	CA	CAN	Regina	50,45	-104,62	pil	16	2016-01-26	Global sewage consortium	wastewater	wastewater metagenome	ERS2520905	ERX2624071	ERR2607415	Illumina	paired	Illumina HiSeq 3000
33	DTU_2016_33_2_MG_CAN-22_1	2		2016_pil_can_01	DTU2016_MG_338_22_CAN-22_1	338	1058	GS pilot 2016	Canada	CA	CAN	Regina	50,45	-104,62	pil	16	2016-01-26	Global sewage consortium	wastewater	wastewater metagenome	ERS2520892	ERX2624058	ERR2607402	Illumina	paired	Illumina HiSeq 3000
34	DTU_2016_34_3_MG_CAN-22_2	3		2016_pil_can_01	DTU2016_MG_338_22_CAN-22_2	338	1058	GS pilot 2016	Canada	CA	CAN	Regina	50,45	-104,62	pil	16	2016-01-26	Global sewage consortium	wastewater	wastewater metagenome	ERS2520893	ERX2624059	ERR2607403	Illumina	paired	Illumina HiSeq 3000
35	DTU_2016_35_1_MG_CAN-22a	1		2016_pil_can_02	DTU2016_MG_339_22a_CAN-22a	339	1058	GS pilot 2016	Canada	CA	CAN	Calgary	51,05	-114,06	pil	16	2016-01-02	Global sewage consortium	wastewater	wastewater metagenome	ERS2520898	ERX2624064	ERR2607408	Illumina	paired	Illumina HiSeq 3000
36	DTU_2016_36_2_MG_CAN-22a_1	2		2016_pil_can_02	DTU2016_MG_339_22a_CAN-22a_1	339	1058	GS pilot 2016	Canada	CA	CAN	Calgary	51,05	-114,06	pil	16	2016-01-02	Global sewage consortium	wastewater	wastewater metagenome	ERS2520894	ERX2624060	ERR2607404	Illumina	paired	Illumina HiSeq 3000
37	DTU_2016_37_3_MG_CAN-22a_2	3		2016_pil_can_02	DTU2016_MG_339_22a_CAN-22a_2	339	1058	GS pilot 2016	Canada	CA	CAN	Calgary	51,05	-114,06	pil	16	2016-01-02	Global sewage consortium	wastewater	wastewater metagenome	ERS2520895	ERX2624061	ERR2607405	Illumina	paired	Illumina HiSeq 3000
38	DTU_2016_38_4_MG_CAN-22a_3	4		2016_pil_can_02	DTU2016_MG_339_22a_CAN-22a_3	339	1058	GS pilot 2016	Canada	CA	CAN	Calgary	51,05	-114,06	pil	16	2016-01-02	Global sewage consortium	wastewater	wastewater metagenome	ERS2520896	ERX2624062	ERR2607406	Illumina	paired	Illumina HiSeq 3000
39	DTU_2016_39_5_MG_CAN-22a_4	5		2016_pil_can_02	DTU2016_MG_339_22a_CAN-22a_4	339	1058	GS pilot 2016	Canada	CA	CAN	Calgary	51,05	-114,06	pil	16	2016-01-02	Global sewage consortium	wastewater	wastewater metagenome	ERS2520897	ERX2624063	ERR2607407	Illumina	paired	Illumina HiSeq 3000
40	DTU_2016_40_1_MG_CAN-22b	1		2016_pil_can_03	DTU2016_MG_340_22b_CAN-22b	340	1058	GS pilot 2016	Canada	CA	CAN	Toronto	43,65	-79,39	pil	16	2016-01-02	Global sewage consortium	wastewater	wastewater metagenome	ERS2520903	ERX2624069	ERR2607413	Illumina	paired	Illumina HiSeq 3000
41	DTU_2016_41_2_MG_CAN-22b_1	2		2016_pil_can_03	DTU2016_MG_340_22b_CAN-22b_1	340	1058	GS pilot 2016	Canada	CA	CAN	Toronto	43,65	-79,39	pil	16	2016-01-02	Global sewage consortium	wastewater	wastewater metagenome	ERS2520899	ERX2624065	ERR2607409	Illumina	paired	Illumina HiSeq 3000
42	DTU_2016_42_3_MG_CAN-22b_2	3		2016_pil_can_03	DTU2016_MG_340_22b_CAN-22b_2	340	1058	GS pilot 2016	Canada	CA	CAN	Toronto	43,65	-79,39	pil	16	2016-01-02	Global sewage consortium	wastewater	wastewater metagenome	ERS2520900	ERX2624066	ERR2607410	Illumina	paired	Illumina HiSeq 3000
43	DTU_2016_43_4_MG_CAN-22b_3	4		2016_pil_can_03	DTU2016_MG_340_22b_CAN-22b_3	340	1058	GS pilot 2016	Canada	CA	CAN	Toronto	43,65	-79,39	pil	16	2016-01-02	Global sewage consortium	wastewater	wastewater metagenome	ERS2520901	ERX2624067	ERR2607411	Illumina	paired	Illumina HiSeq 3000
44	DTU_2016_44_5_MG_CAN-22b_4	5		2016_pil_can_03	DTU2016_MG_340_22b_CAN-22b_4	340	1058	GS pilot 2016	Canada	CA	CAN	Toronto	43,65	-79,39	pil	16	2016-01-02	Global sewage consortium	wastewater	wastewater metagenome	ERS2520902	ERX2624068	ERR2607412	Illumina	paired	Illumina HiSeq 3000
45	DTU_2016_45_1_MG_CAN-22c	1		2016_pil_can_04	DTU2016_MG_341_22c_CAN-22c	341	1058	GS pilot 2016	Canada	CA	CAN	Ottawa	45,42	-75,69	pil	16	2016-01-26	Global sewage consortium	wastewater	wastewater metagenome	ERS2520904	ERX2624070	ERR2607414	Illumina	paired	Illumina HiSeq 3000
46	DTU_2016_46_1_MG_CHE-67	1		2016_pil_che_01	DTU2016_MG_383_67_CHE-67	383	1058	GS pilot 2016	Switzerland	CH	CHE	Liebefeld	46,93	7,42	pil	16	2016-01-27	Global sewage consortium	wastewater	wastewater metagenome	ERS2520912	ERX2624078	ERR2607422	Illumina	paired	Illumina HiSeq 3000
47	DTU_2016_47_2_MG_CHE-67_1	2		2016_pil_che_01	DTU2016_MG_383_67_CHE-67_1	383	1058	GS pilot 2016	Switzerland	CH	CHE	Liebefeld	46,93	7,42	pil	16	2016-01-27	Global sewage consortium	wastewater	wastewater metagenome	ERS2520906	ERX2624072	ERR2607416	Illumina	paired	Illumina HiSeq 3000
48	DTU_2016_48_3_MG_CHE-67_2	3		2016_pil_che_01	DTU2016_MG_383_67_CHE-67_2	383	1058	GS pilot 2016	Switzerland	CH	CHE	Liebefeld	46,93	7,42	pil	16	2016-01-27	Global sewage consortium	wastewater	wastewater metagenome	ERS2520907	ERX2624073	ERR2607417	Illumina	paired	Illumina HiSeq 3000
49	DTU_2016_49_4_MG_CHE-67_3	4		2016_pil_che_01	DTU2016_MG_383_67_CHE-67_3	383	1058	GS pilot 2016	Switzerland	CH	CHE	Liebefeld	46,93	7,42	pil	16	2016-01-27	Global sewage consortium	wastewater	wastewater metagenome	ERS2520908	ERX2624074	ERR2607418	Illumina	paired	Illumina HiSeq 3000
50	DTU_2016_50_5_MG_CHE-67_4	5		2016_pil_che_01	DTU2016_MG_383_67_CHE-67_4	383	1058	GS pilot 2016	Switzerland	CH	CHE	Liebefeld	46,93	7,42	pil	16	2016-01-27	Global sewage consortium	wastewater	wastewater metagenome	ERS2520909	ERX2624075	ERR2607419	Illumina	paired	Illumina HiSeq 3000
51	DTU_2016_51_6_MG_CHE-67_5	6		2016_pil_che_01	DTU2016_MG_383_67_CHE-67_5	383	1058	GS pilot 2016	Switzerland	CH	CHE	Liebefeld	46,93	7,42	pil	16	2016-01-27	Global sewage consortium	wastewater	wastewater metagenome	ERS2520910	ERX2624076	ERR2607420	Illumina	paired	Illumina HiSeq 3000
52	DTU_2016_52_7_MG_CHE-67_6	7		2016_pil_che_01	DTU2016_MG_383_67_CHE-67_6	383	1058	GS pilot 2016	Switzerland	CH	CHE	Liebefeld	46,93	7,42	pil	16	2016-01-27	Global sewage consortium	wastewater	wastewater metagenome	ERS2520911	ERX2624077	ERR2607421	Illumina	paired	Illumina HiSeq 3000
53	DTU_2016_53_1_MG_CHN-64	1		2016_pil_chn_01	DTU2016_MG_380_64_CHN-64	380	1058	GS pilot 2016	China	CN	CHN	Guangzhou	23,13	113,26	pil	16	2016-01-28	Global sewage consortium	wastewater	wastewater metagenome	ERS2520913	ERX2624079	ERR2607423	Illumina	paired	Illumina HiSeq 3000
54	DTU_2016_54_1_MG_CIV-13	1		2016_pil_civ_01	DTU2016_MG_329_13_CIV-13	329	1058	GS pilot 2016	Cote d'Ivoire	CI	CIV	Abidjan	5,32	-4,02	pil	16	2016-01-25	Global sewage consortium	wastewater	wastewater metagenome	ERS2520916	ERX2624082	ERR2607426	Illumina	paired	Illumina HiSeq 3000
55	DTU_2016_55_2_MG_CIV-13_1	2		2016_pil_civ_01	DTU2016_MG_329_13_CIV-13_1	329	1058	GS pilot 2016	Cote d'Ivoire	CI	CIV	Abidjan	5,32	-4,02	pil	16	2016-01-25	Global sewage consortium	wastewater	wastewater metagenome	ERS2520914	ERX2624080	ERR2607424	Illumina	paired	Illumina HiSeq 3000
56	DTU_2016_56_3_MG_CIV-13_2	3		2016_pil_civ_01	DTU2016_MG_329_13_CIV-13_2	329	1058	GS pilot 2016	Cote d'Ivoire	CI	CIV	Abidjan	5,32	-4,02	pil	16	2016-01-25	Global sewage consortium	wastewater	wastewater metagenome	ERS2520915	ERX2624081	ERR2607425	Illumina	paired	Illumina HiSeq 3000
58	DTU_2016_58_1_MG_CZE-23	1		2016_pil_cze_01	DTU2016_MG_342_23_CZE-23	342	1058	GS pilot 2016	Czech Republic	CZ	CZE	Brno	49,19	16,61	pil	16	2016-01-02	Global sewage consortium	wastewater	wastewater metagenome	ERS2520920	ERX2624086	ERR2607430	Illumina	paired	Illumina HiSeq 3000
59	DTU_2016_59_2_MG_CZE-23_1	2		2016_pil_cze_01	DTU2016_MG_342_23_CZE-23_1	342	1058	GS pilot 2016	Czech Republic	CZ	CZE	Brno	49,19	16,61	pil	16	2016-01-02	Global sewage consortium	wastewater	wastewater metagenome	ERS2520918	ERX2624084	ERR2607428	Illumina	paired	Illumina HiSeq 3000
60	DTU_2016_60_3_MG_CZE-23_2	3		2016_pil_cze_01	DTU2016_MG_342_23_CZE-23_2	342	1058	GS pilot 2016	Czech Republic	CZ	CZE	Brno	49,19	16,61	pil	16	2016-01-02	Global sewage consortium	wastewater	wastewater metagenome	ERS2520919	ERX2624085	ERR2607429	Illumina	paired	Illumina HiSeq 3000
61	DTU_2016_61_1_MG_DEU-27	1		2016_pil_deu_01	DTU2016_MG_345_27_DEU-27	345	1058	GS pilot 2016	Germany	DE	DEU	Berlin	52,52	13,39	pil	16	2016-08-02	Global sewage consortium	wastewater	wastewater metagenome	ERS2520925	ERX2624091	ERR2607435	Illumina	paired	Illumina HiSeq 3000
62	DTU_2016_62_2_MG_DEU-27_1	2		2016_pil_deu_01	DTU2016_MG_345_27_DEU-27_1	345	1058	GS pilot 2016	Germany	DE	DEU	Berlin	52,52	13,39	pil	16	2016-08-02	Global sewage consortium	wastewater	wastewater metagenome	ERS2520921	ERX2624087	ERR2607431	Illumina	paired	Illumina HiSeq 3000
64	DTU_2016_64_4_MG_DEU-27_3	4		2016_pil_deu_01	DTU2016_MG_345_27_DEU-27_3	345	1058	GS pilot 2016	Germany	DE	DEU	Berlin	52,52	13,39	pil	16	2016-08-02	Global sewage consortium	wastewater	wastewater metagenome	ERS2520923	ERX2624089	ERR2607433	Illumina	paired	Illumina HiSeq 3000
65	DTU_2016_65_5_MG_DEU-27_4	5		2016_pil_deu_01	DTU2016_MG_345_27_DEU-27_4	345	1058	GS pilot 2016	Germany	DE	DEU	Berlin	52,52	13,39	pil	16	2016-08-02	Global sewage consortium	wastewater	wastewater metagenome	ERS2520924	ERX2624090	ERR2607434	Illumina	paired	Illumina HiSeq 3000
66	DTU_2016_66_1_MG_DNK_71_RL	1		2016_pil_dnk_01	DTU2016_MG_389_71 RL_DNK_71_RL	389	1058	GS pilot 2016	Denmark	DK	DNK	Lynetten	55,70	12,62	pil	16	2016-02-03	Global sewage consortium	wastewater	wastewater metagenome	ERS2520928	ERX2624094	ERR2607438	Illumina	paired	Illumina HiSeq 3000
67	DTU_2016_67_1_MG_DNK-71_RA	1		2016_pil_dnk_02	DTU2016_MG_388_71 RA_DNK-71_RA	388	1058	GS pilot 2016	Denmark	DK	DNK	Avedore	55,63	12,46	pil	16	2016-02-03	Global sewage consortium	wastewater	wastewater metagenome	ERS2520926	ERX2624092	ERR2607436	Illumina	paired	Illumina HiSeq 3000
68	DTU_2016_68_1_MG_DNK-71_RD	1		2016_pil_dnk_03	DTU2016_MG_387_71 RD_DNK-71_RD	387	1058	GS pilot 2016	Denmark	DK	DNK	Damhusaaen	55,64	12,50	pil	16	2016-02-03	Global sewage consortium	wastewater	wastewater metagenome	ERS2520927	ERX2624093	ERR2607437	Illumina	paired	Illumina HiSeq 3000
69	DTU_2016_69_1_MG_ECU-14	1	Sample is environmental - sampling site is a river (freddu 11/12-2019)	2016_pil_ecu_01	DTU2016_MG_330_14_ECU-14	330	1058	GS pilot 2016	Ecuador	EC	ECU	Quito	-0,22	-78,51	pil	16	2016-01-02	Global sewage consortium	wastewater	wastewater metagenome	ERS2520931	ERX2624097	ERR2607441	Illumina	paired	Illumina HiSeq 3000
70	DTU_2016_70_1_MG_ECU-14a	1	Sample is environmental - sampling site is a river (freddu 11/12-2019)	2016_pil_ecu_02	DTU2016_MG_331_14a_ECU-14a	331	1058	GS pilot 2016	Ecuador	EC	ECU	Galapagos	-0,63	-90,36	pil	16	2016-06-02	Global sewage consortium	wastewater	wastewater metagenome	ERS2520930	ERX2624096	ERR2607440	Illumina	paired	Illumina HiSeq 3000
71	DTU_2016_71_2_MG_ECU-14a_1	2	Sample is environmental - sampling site is a river (freddu 11/12-2019)	2016_pil_ecu_02	DTU2016_MG_331_14a_ECU-14a_1	331	1058	GS pilot 2016	Ecuador	EC	ECU	Galapagos	-0,63	-90,36	pil	16	2016-06-02	Global sewage consortium	wastewater	wastewater metagenome	ERS2520929	ERX2624095	ERR2607439	Illumina	paired	Illumina HiSeq 3000
72	DTU_2016_72_1_MG_ESP-75	1		2016_pil_esp_01	DTU2016_MG_401_75_ESP-75	401	1058	GS pilot 2016	Spain	ES	ESP	Barcelona	41,38	2,18	pil	16	2016-10-02	Global sewage consortium	wastewater	wastewater metagenome	ERS2520937	ERX2624103	ERR2607447	Illumina	paired	Illumina HiSeq 3000
73	DTU_2016_73_2_MG_ESP-75_1	2		2016_pil_esp_01	DTU2016_MG_401_75_ESP-75_1	401	1058	GS pilot 2016	Spain	ES	ESP	Barcelona	41,38	2,18	pil	16	2016-10-02	Global sewage consortium	wastewater	wastewater metagenome	ERS2520932	ERX2624098	ERR2607442	Illumina	paired	Illumina HiSeq 3000
74	DTU_2016_74_3_MG_ESP-75_2	3		2016_pil_esp_01	DTU2016_MG_401_75_ESP-75_2	401	1058	GS pilot 2016	Spain	ES	ESP	Barcelona	41,38	2,18	pil	16	2016-10-02	Global sewage consortium	wastewater	wastewater metagenome	ERS2520933	ERX2624099	ERR2607443	Illumina	paired	Illumina HiSeq 3000
75	DTU_2016_75_4_MG_ESP-75_3	4		2016_pil_esp_01	DTU2016_MG_401_75_ESP-75_3	401	1058	GS pilot 2016	Spain	ES	ESP	Barcelona	41,38	2,18	pil	16	2016-10-02	Global sewage consortium	wastewater	wastewater metagenome	ERS2520934	ERX2624100	ERR2607444	Illumina	paired	Illumina HiSeq 3000
76	DTU_2016_76_5_MG_ESP-75_4	5		2016_pil_esp_01	DTU2016_MG_401_75_ESP-75_4	401	1058	GS pilot 2016	Spain	ES	ESP	Barcelona	41,38	2,18	pil	16	2016-10-02	Global sewage consortium	wastewater	wastewater metagenome	ERS2520935	ERX2624101	ERR2607445	Illumina	paired	Illumina HiSeq 3000
77	DTU_2016_77_6_MG_ESP-75_5	6		2016_pil_esp_01	DTU2016_MG_401_75_ESP-75_5	401	1058	GS pilot 2016	Spain	ES	ESP	Barcelona	41,38	2,18	pil	16	2016-10-02	Global sewage consortium	wastewater	wastewater metagenome	ERS2520936	ERX2624102	ERR2607446	Illumina	paired	Illumina HiSeq 3000
78	DTU_2016_78_1_MG_ETH-24	1		2016_pil_eth_01	DTU2016_MG_343_24_ETH-24	343	1058	GS pilot 2016	Ethiopia	ET	ETH	Addis Ababa	9,00	38,75	pil	16	2016-01-02	Global sewage consortium	wastewater	wastewater metagenome	ERS2520938	ERX2624104	ERR2607448	Illumina	paired	Illumina HiSeq 3000
79	DTU_2016_79_1_MG_FIN-25	1		2016_pil_fin_01	DTU2016_MG_344_25_FIN-25	344	1058	GS pilot 2016	Finland	FI	FIN	Helsinki	60,17	24,94	pil	16	2016-01-26	Global sewage consortium	wastewater	wastewater metagenome	ERS2520941	ERX2624107	ERR2607451	Illumina	paired	Illumina HiSeq 3000
