region,name,country3
Asia,Afghanistan,AFG
Asia,Armenia,ARM
Asia,Azerbaijan,AZE
Asia,Bahrain,BHR
Asia,Bangladesh,BGD
Asia,Bhutan,BTN
Asia,Brunei Darussalam,BRN
Asia,Cambodia,KHM
Asia,China,CHN
Asia,Cyprus,CYP
Asia,Georgia,GEO
Asia,Hong Kong,HKG
Asia,India,IND
Asia,Indonesia,IDN
Asia,Iran (Islamic Republic of),IRN
Asia,Iraq,IRQ
Asia,Israel,ISR
Asia,Japan,JPN
Asia,Jordan,JOR
Asia,Kazakhstan,KAZ
Asia,Korea (Democratic People's Republic of),PRK
Asia,"Korea, Republic of",KOR
Asia,Kuwait,KWT
Asia,Kyrgyzstan,KGZ
Asia,Lao People's Democratic Republic,LAO
Asia,Lebanon,LBN
Asia,Macao,MAC
Asia,Malaysia,MYS
Asia,Maldives,MDV
Asia,Mongolia,MNG
Asia,Myanmar,MMR
Asia,Nepal,NPL
Asia,Oman,OMN
Asia,Pakistan,PAK
Asia,"Palestine, State of",PSE
Asia,Philippines,PHL
Asia,Qatar,QAT
Asia,Saudi Arabia,SAU
Asia,Singapore,SGP
Asia,Sri Lanka,LKA
Asia,Syrian Arab Republic,SYR
Asia,"Taiwan, Province of China",TWN
Asia,Tajikistan,TJK
Asia,Thailand,THA
Asia,Timor-Leste,TLS
Asia,Turkey,TUR
Asia,Turkmenistan,TKM
Asia,United Arab Emirates,ARE
Asia,Uzbekistan,UZB
Asia,Viet Nam,VNM
Asia,Yemen,YEM
Europe,Åland Islands,ALA
Europe,Albania,ALB
Europe,Andorra,AND
Europe,Austria,AUT
Europe,Belarus,BLR
Europe,Belgium,BEL
Europe,Bosnia and Herzegovina,BIH
Europe,Bulgaria,BGR
Europe,Croatia,HRV
Europe,Czechia,CZE
Europe,Denmark,DNK
Europe,Estonia,EST
Europe,Faroe Islands,FRO
Europe,Finland,FIN
Europe,France,FRA
Europe,Germany,DEU
Europe,Gibraltar,GIB
Europe,Greece,GRC
Europe,Guernsey,GGY
Europe,Holy See,VAT
Europe,Hungary,HUN
Europe,Iceland,ISL
Europe,Ireland,IRL
Europe,Isle of Man,IMN
Europe,Italy,ITA
Europe,Jersey,JEY
Europe,Kosovo,RKS
Europe,Latvia,LVA
Europe,Liechtenstein,LIE
Europe,Lithuania,LTU
Europe,Luxembourg,LUX
Europe,Malta,MLT
Europe,"Moldova, Republic of",MDA
Europe,Monaco,MCO
Europe,Montenegro,MNE
Europe,Netherlands,NLD
Europe,North Macedonia,MKD
Europe,Norway,NOR
Europe,Poland,POL
Europe,Portugal,PRT
Europe,Romania,ROU
Europe,Russian Federation,RUS
Europe,San Marino,SMR
Europe,Serbia,SRB
Europe,Slovakia,SVK
Europe,Slovenia,SVN
Europe,Spain,ESP
Europe,Svalbard and Jan Mayen,SJM
Europe,Sweden,SWE
Europe,Switzerland,CHE
Europe,Ukraine,UKR
Europe,United Kingdom of Great Britain and Northern Ireland,GBR
Oceania,American Samoa,ASM
Oceania,Australia,AUS
Oceania,Christmas Island,CXR
Oceania,Cocos (Keeling) Islands,CCK
Oceania,Cook Islands,COK
Oceania,Fiji,FJI
Oceania,French Polynesia,PYF
Oceania,Guam,GUM
Oceania,Heard Island and McDonald Islands,HMD
Oceania,Kiribati,KIR
Oceania,Marshall Islands,MHL
Oceania,Micronesia (Federated States of),FSM
Oceania,Nauru,NRU
Oceania,New Caledonia,NCL
Oceania,New Zealand,NZL
Oceania,Niue,NIU
Oceania,Norfolk Island,NFK
Oceania,Northern Mariana Islands,MNP
Oceania,Palau,PLW
Oceania,Papua New Guinea,PNG
Oceania,Pitcairn,PCN
Oceania,Samoa,WSM
Oceania,Solomon Islands,SLB
Oceania,Tokelau,TKL
Oceania,Tonga,TON
Oceania,Tuvalu,TUV
Oceania,United States Minor Outlying Islands,UMI
Oceania,Vanuatu,VUT
Oceania,Wallis and Futuna,WLF
NA,Antarctica,ATA
